context_id,context_category,baseline_sample,difficulty
495a4880-c5aa-4f7c-a4d8-6b0693fe73d7,Empirical Discovery & Simulation,0.2000,Easy
496de9f7-6811-4088-9df1-470773b3347b,Domain Knowledge Reasoning,0.3333,Medium
4a9abd1f-4030-4cdc-a4e0-6cb82bdcb941,Rule System Application,0.2727,Medium
4ae7f7d1-a85f-4162-9c37-e71998076000,Domain Knowledge Reasoning,0.3333,Easy
4bcf9b55-1dd8-45aa-b39b-e9a49efd4d26,Procedural Task Execution,0.0000,Hard
4d37dbec-0413-4c8c-a2ff-31719cf4fca6,Domain Knowledge Reasoning,0.0000,Hard
4dd136ea-ce67-4d2a-bff2-0f77c461343f,Rule System Application,0.8000,Easy
4ffdf541-4203-4d9b-9397-ad7683fef896,Domain Knowledge Reasoning,0.0000,Hard
5688c43e-aef8-4b63-90c7-6df27974319c,Empirical Discovery & Simulation,0.0000,Easy
57e896c5-c610-47d3-ad4e-ca1e26733ed3,Domain Knowledge Reasoning,0.4286,Easy
5803b59f-7360-4ec3-ad5b-75f16a1fee7a,Rule System Application,0.0000,Hard
58afde9b-a3b9-4254-83ea-c943f5fff6fe,Domain Knowledge Reasoning,0.5000,Easy
5ad8aede-ffcc-403d-80aa-f3baa93b6e43,Procedural Task Execution,0.0000,Hard
5ed70514-e795-4a23-8d7b-c4175032ccbf,Rule System Application,0.1429,Medium
641e5f9c-3e2f-46ea-bcee-c3be23d49e22,Domain Knowledge Reasoning,0.2857,Medium
68a3bbad-48b6-4161-b718-10989b517499,Domain Knowledge Reasoning,0.7143,Easy
69a365b3-8442-4276-8ef5-cb38934d1ef9,Rule System Application,0.0833,Medium
6fef422c-945f-4617-904e-5c6b183296d8,Procedural Task Execution,0.1429,Medium
710ca3c6-1b52-43a3-a2a3-64391ff5e11a,Procedural Task Execution,0.0000,Hard
7833ca0b-0540-40ce-a7c1-b3e471b06f1a,Procedural Task Execution,0.0000,Hard
7b882521-c98b-4dd7-8afe-7b6d65ccf6b0,Procedural Task Execution,0.0000,Hard
7c266f2c-6d1f-4503-a8b1-f44ecb93493b,Domain Knowledge Reasoning,0.2857,Medium
7c282ea4-5524-484e-a1fd-b9f2854adbf8,Domain Knowledge Reasoning,0.0000,Hard
7f8cc51f-ba34-4f90-816d-30e336c5cafc,Procedural Task Execution,0.0000,Hard
848bbbd1-4d50-4efc-93f1-fb33dca0f087,Rule System Application,0.2222,Medium
84e43339-1941-4621-ad34-2413f0989e2a,Procedural Task Execution,0.1429,Medium
89b70a72-25b9-44d5-b521-1fd237bed07c,Rule System Application,0.5000,Easy
8cfc4533-0019-41ab-b7e4-f71bf9a07fe4,Procedural Task Execution,0.8571,Easy
90fb3dd6-1788-404c-b6c4-42d73553ac9d,Domain Knowledge Reasoning,0.5714,Easy
91cca41c-d94e-414c-b5ab-868f14fc6b97,Rule System Application,0.0833,Medium
92e91ec2-6de2-4143-a5c8-6ba9b05c74d0,Procedural Task Execution,0.1667,Medium
9445a30d-bef8-4f9c-85f4-c132b74b9df9,Domain Knowledge Reasoning,0.0000,Hard
94fc2d74-6932-4487-8e0e-9580c63194db,Domain Knowledge Reasoning,0.0000,Hard
9723e8d6-1edb-4438-8ea9-1cad609413d1,Procedural Task Execution,0.0000,Hard
9a859675-e758-4407-82fd-a2bea2f96b71,Domain Knowledge Reasoning,0.7143,Easy
9c692d2b-b426-4fa7-a274-48b729b8e37e,Rule System Application,0.0000,Hard
9d7e803f-fa17-4f96-8685-df20dddab4c0,Domain Knowledge Reasoning,0.0000,Hard
ab9e8748-3d04-4e1b-97b5-d2500b42a424,Domain Knowledge Reasoning,0.0000,Hard
b0395f31-2c42-44d2-940a-989555f32fb9,Procedural Task Execution,0.4286,Easy
b2bdc827-6500-4c70-9253-b651ba992af5,Rule System Application,0.0000,Hard
b3b10674-3cb6-4fc8-929f-d4a87a9bddbd,Domain Knowledge Reasoning,0.0000,Hard
b433ff18-d5be-49ba-838c-af79f3837cb3,Procedural Task Execution,0.0000,Hard
b43c28fa-e0d7-4894-b8e0-2ed4523e583c,Procedural Task Execution,0.0000,Hard
b86a8a5e-487a-404c-840f-84c6879097e6,Procedural Task Execution,0.0000,Medium
b9d1b165-c0ca-4c33-92e1-c9b3a82a3523,Domain Knowledge Reasoning,0.7143,Easy
bfccd487-4b30-4bba-8a45-8d5308698b61,Domain Knowledge Reasoning,1.0000,Easy
c11ce21e-4821-44e3-ab70-72767fdaec60,Domain Knowledge Reasoning,0.0000,Hard
c2c9ab35-39c5-4bfc-9643-fa8341db79a6,Rule System Application,0.4545,Easy
c2f26f19-74fb-4924-82fd-bb2de36691c8,Domain Knowledge Reasoning,0.0000,Hard
c4fd0075-0236-47ab-984f-b1f0f13fa679,Procedural Task Execution,0.4286,Easy
c51b4d6e-ff17-42b5-81ba-a8c9ea267d86,Rule System Application,0.4000,Easy
c627c242-27e2-401e-bb46-366c3b31d8df,Domain Knowledge Reasoning,1.0000,Easy
c7bf09a0-ff68-4d50-8fbd-6902297a2f05,Domain Knowledge Reasoning,0.0000,Hard
c893b3e0-694a-4a7f-92af-1d3b00c81a4f,Domain Knowledge Reasoning,0.6667,Easy
ca81dfb0-485c-4880-83ec-7fa594ab805e,Procedural Task Execution,0.2857,Easy
ccdbd302-9d1f-42ef-9eaa-cbcfc1e1ff5f,Domain Knowledge Reasoning,0.2857,Medium
d04a3814-daa4-4703-bb0d-3bc9558ff55c,Procedural Task Execution,0.0000,Medium
d081e2cc-a4ee-4ea5-a9eb-c004e3703100,Rule System Application,0.0000,Hard
d2004304-78e2-4d30-8b80-4afc9a1ef8c0,Rule System Application,0.1111,Medium
d29478c9-77bd-4645-bcdb-f56296a0bcfa,Procedural Task Execution,0.5714,Easy
d6d60696-7e77-41c5-92f1-08fe771a17fb,Procedural Task Execution,0.8571,Easy
d94afb0b-4ab1-43c0-ac5d-187db5171789,Domain Knowledge Reasoning,0.3333,Easy
e1766f31-dd66-492c-a654-b8eacbfcbd20,Domain Knowledge Reasoning,0.1429,Medium
e3902829-df7a-4121-aca7-115d491af67c,Procedural Task Execution,1.0000,Easy
e5b592a2-1d37-4f1b-8bc4-3f7ca63f4d1c,Rule System Application,1.0000,Easy
e60d8dcd-5f8d-470b-8ec6-2128852fdb85,Domain Knowledge Reasoning,0.4286,Easy
e7d75108-7808-48ea-8305-5d7aa4309937,Procedural Task Execution,0.0000,Medium
e889fd92-f82d-4bfa-ada1-83ae4e7ee762,Domain Knowledge Reasoning,0.1667,Medium
e9ae1147-58c0-414c-84a1-d56c469a7753,Procedural Task Execution,0.5000,Easy
eac065fe-d14f-4092-8252-71f26f890cab,Rule System Application,0.1111,Medium
ed154396-5bd6-4495-8373-ff8cc1225619,Domain Knowledge Reasoning,0.0000,Hard
ef0ce301-e18a-4f43-8a07-49ed50846a27,Rule System Application,0.1818,Medium
ef2c4452-e7fc-4d6a-adee-eb7c206eaecf,Procedural Task Execution,0.3333,Easy
ef46e774-58fe-43bc-ab45-e94e9c58d25b,Procedural Task Execution,0.1667,Medium
f096a5d8-a3f0-4bcc-a32c-aeedae738440,Rule System Application,0.2727,Medium
f5a27818-2061-418f-96ac-7ae7fae4886c,Rule System Application,0.0000,Hard
f6721b64-4562-4861-be99-80565a89c3a3,Domain Knowledge Reasoning,0.0000,Hard
f7585f37-91ba-4747-a513-8841f3fcc42f,Rule System Application,1.0000,Easy
fd6f1b50-1b93-42d8-aff2-e7a61fbbe042,Domain Knowledge Reasoning,0.1429,Medium
fe9e271c-45c7-4c74-baf8-a1d93ad41a54,Rule System Application,0.0000,Hard
fec05f2c-19d0-41ce-af78-dabe858f634f,Procedural Task Execution,0.0000,Medium
ff859501-ff1a-469d-b0a2-147415a3e4ae,Domain Knowledge Reasoning,0.2857,Medium
